,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
561,ceprimeiromundo,em 1a serie,0.0
562,ceprimeiromundo,ef 8o ano,0.0
563,colegioalphaunis,ef 7o ano,0.0
564,ceprimeiromundo,ef 7o ano,0.0
565,ceprimeiromundo,ef 6o ano,0.0
566,ceprimeiromundo,ef 5o ano,0.0
567,ceprimeiromundo,ef 4o ano,0.0
568,ceprimeiromundo,ef 3o ano,0.0
569,ceprimeiromundo,ef 2o ano,0.0
570,ciadosaber,ef 3o ano,0.0
571,ciadosaber,ef 4o ano,0.0
572,ciadosaber,ef 5o ano,0.0
573,ciadosaber,ef 6o ano,0.0
574,ciadosaber,ef 7o ano,0.0
575,ciadosaber,ef 8o ano,0.0
576,ciadosaber,ef 9o ano,0.0
577,cmdpii,em 2a serie,0.0
578,cnslpb,ef 6o ano,0.0
579,cnslpb,ef 7o ano,0.0
580,cnslpb,ef 8o ano,0.0
581,cnslpb,ef 9o ano,0.0
582,cnslpb,em 1a serie,0.0
583,cnslpb,em 2a serie,0.0
584,cnslpb,em 3a serie,0.0
585,cognitivo,0,0.0
586,colegioalphaunis,0,0.0
587,ceprimeiromundo,ef 1o ano,0.0
588,ceprimeiromundo,0,0.0
589,cem,em 3a serie,0.0
590,ceespacolivre,ef 6o ano,0.0
591,cbpdigital,ef 8o ano,0.0
592,cbpdigital,ef 9o ano,0.0
593,ceabb,ef 3o ano,0.0
594,ceabb,ef 4o ano,0.0
595,ceabb,ef 5o ano,0.0
596,ceabb,ef 6o ano,0.0
597,ceabb,ef 7o ano,0.0
598,ceabb,ef 8o ano,0.0
599,ceabb,ef 9o ano,0.0
600,cecbdf,em 1a serie,0.0
601,cecbdf,em 2a serie,0.0
602,cecbdf,em 3a serie,0.0
603,ceespacolivre,0,0.0
604,ceespacolivre,ef 5o ano,0.0
605,ceespacolivre,ef 7o ano,0.0
606,cem,em 2a serie,0.0
607,ceespacolivre,ef 8o ano,0.0
608,ceespacolivre,ef 9o ano,0.0
609,ceespacolivre,em 1a serie,0.0
610,ceespacolivre,em 2a serie,0.0
611,cem,0,0.0
612,cem,ef 2o ano,0.0
613,cem,ef 3o ano,0.0
614,cem,ef 4o ano,0.0
615,cem,ef 5o ano,0.0
616,cem,ef 6o ano,0.0
617,cem,ef 7o ano,0.0
618,cem,ef 8o ano,0.0
619,cem,ef 9o ano,0.0
620,cem,em 1a serie,0.0
621,colegioalphaunis,ef 6o ano,0.0
622,colegioalphaunis,ef 8o ano,0.0
623,cbpdigital,ef 6o ano,0.0
624,colegiobilac,ef 8o ano,0.0
625,colegiobrasilia,ef 5o ano,0.0
626,colegiobrasilia,ef 4o ano,0.0
627,colegiobrasilia,ef 3o ano,0.0
628,colegiobrasilia,ef 2o ano,0.0
629,colegiobrasilia,0,0.0
630,colegiobilac,ef 9o ano,0.0
631,colegiobilac,ef 7o ano,0.0
632,colegioalphaunis,ef 9o ano,0.0
633,colegiobilac,ef 6o ano,0.0
634,colegiobilac,ef 5o ano,0.0
635,colegiobilac,ef 4o ano,0.0
636,colegiobilac,ef 3o ano,0.0
637,colegiobilac,ef 2o ano,0.0
638,colegiobilac,ef 1o ano,0.0
639,colegiobrasilia,ef 6o ano,0.0
640,colegiobrasilia,ef 7o ano,0.0
641,colegiobrasilia,ef 8o ano,0.0
642,colegiobrasilia,ef 9o ano,0.0
643,colegiobrasilia,em 1a serie,0.0
644,colegiobrasilia,em 2a serie,0.0
645,colegiobrasilia,em 3a serie,0.0
646,colegiobrasilia,outro,0.0
647,colegiocb,0,0.0
648,colegiocb,ef 3o ano,0.0
649,colegiocb,ef 4o ano,0.0
650,colegiocb,ef 5o ano,0.0
651,colegiocb,ef 6o ano,0.0
652,colegiocb,ef 7o ano,0.0
653,colegiocb,ef 8o ano,0.0
654,colegiocb,ef 9o ano,0.0
655,colegiocb,em 1a serie,0.0
656,colegiobianguloiv,em 3a serie,0.0
657,colegiobianguloiv,em 2a serie,0.0
658,colegiobianguloiv,em 1a serie,0.0
659,colegiobatistaindependente,0,0.0
660,colegioalphaunis,em 1a serie,0.0
661,colegioalphaunis,em 2a serie,0.0
662,colegioalphaunis,em 3a serie,0.0
663,colegioanchietai,em 1a serie,0.0
664,colegioanchietai,em 2a serie,0.0
665,colegioanchietai,em 3a serie,0.0
666,colegioanchietaii,em 1a serie,0.0
667,colegioanchietaii,em 2a serie,0.0
668,colegioanchietaii,em 3a serie,0.0
669,colegioarena,0,0.0
670,colegioarena,em 1a serie,0.0
671,colegioarena,em 2a serie,0.0
672,colegioarena,em 3a serie,0.0
673,colegioarena,outro,0.0
674,colegiobatistaindependente,ef 5o ano,0.0
675,colegiobetelbrasileirosp,em 3a serie,0.0
676,colegiobatistaindependente,ef 6o ano,0.0
677,colegiobatistaindependente,ef 7o ano,0.0
678,colegiobatistaindependente,ef 8o ano,0.0
679,colegiobatistaindependente,ef 9o ano,0.0
680,colegiobatistaindependente,em 1a serie,0.0
681,colegiobatistaindependente,em 2a serie,0.0
682,colegiobatistaindependente,em 3a serie,0.0
683,colegiobatistaindependente,outro,0.0
684,colegiobetelbrasileirosp,ef 6o ano,0.0
685,colegiobetelbrasileirosp,ef 7o ano,0.0
686,colegiobetelbrasileirosp,ef 8o ano,0.0
687,colegiobetelbrasileirosp,ef 9o ano,0.0
688,colegiobetelbrasileirosp,em 1a serie,0.0
689,colegiobetelbrasileirosp,em 2a serie,0.0
690,cbpdigital,ef 7o ano,0.0
691,cbpdigital,ef 5o ano,0.0
692,educandarioterciocorreia,ef 3o ano,0.0
693,acessofazendariogrande,outro,0.0
694,acessohauer,ef 6o ano,0.0
695,acessohauer,ef 5o ano,0.0
696,acessohauer,ef 4o ano,0.0
697,acessohauer,ef 3o ano,0.0
698,acessohauer,ef 2o ano,0.0
699,acessohauer,0,0.0
700,acessofazendariogrande,em 3a serie,0.0
701,acessosjpinhais,ef 2o ano,0.0
702,acessofazendariogrande,em 2a serie,0.0
703,acessofazendariogrande,em 1a serie,0.0
704,acessofazendariogrande,ef 9o ano,0.0
705,acessofazendariogrande,ef 8o ano,0.0
706,acessofazendariogrande,ef 7o ano,0.0
707,acessofazendariogrande,ef 6o ano,0.0
708,acessohauer,ef 7o ano,0.0
709,acessopinhais,em 1a serie,0.0
710,acessopinhais,em 2a serie,0.0
711,acessopinhais,em 3a serie,0.0
712,acessopinhais,outro,0.0
713,acessosantafelicidade,ef 2o ano,0.0
714,acessosantafelicidade,ef 3o ano,0.0
715,acessosantafelicidade,ef 4o ano,0.0
716,acessosantafelicidade,ef 5o ano,0.0
717,acessosantafelicidade,ef 6o ano,0.0
718,acessosantafelicidade,ef 7o ano,0.0
719,acessosantafelicidade,ef 8o ano,0.0
720,acessosantafelicidade,ef 9o ano,0.0
721,acessosantafelicidade,em 1a serie,0.0
722,acessosantafelicidade,em 2a serie,0.0
723,acessosantafelicidade,em 3a serie,0.0
724,acessosantafelicidade,outro,0.0
725,acessofazendariogrande,ef 5o ano,0.0
726,acessofazendariogrande,ef 4o ano,0.0
727,acessofazendariogrande,ef 3o ano,0.0
728,acessoboqueirao,em 2a serie,0.0
729,acessoalmirantetamandare,ef 4o ano,0.0
730,acessoalmirantetamandare,ef 5o ano,0.0
731,acessoalmirantetamandare,ef 6o ano,0.0
732,acessoalmirantetamandare,ef 7o ano,0.0
733,acessoalmirantetamandare,ef 8o ano,0.0
734,acessoalmirantetamandare,ef 9o ano,0.0
735,acessoalmirantetamandare,em 1a serie,0.0
736,acessoalmirantetamandare,em 2a serie,0.0
737,acessoalmirantetamandare,em 3a serie,0.0
738,acessoalmirantetamandare,outro,0.0
739,acessoboqueirao,0,0.0
740,acessoboqueirao,ef 8o ano,0.0
741,acessoboqueirao,ef 9o ano,0.0
742,acessoboqueirao,em 1a serie,0.0
743,acessoboqueirao,em 3a serie,0.0
744,acessofazendariogrande,ef 2o ano,0.0
745,acessoboqueirao,outro,0.0
746,acessocampolargo,ef 6o ano,0.0
747,acessocampolargo,ef 7o ano,0.0
748,acessocampolargo,ef 8o ano,0.0
749,acessocampolargo,ef 9o ano,0.0
750,acessocampolargo,em 1a serie,0.0
751,acessocampolargo,em 2a serie,0.0
752,acessocampolargo,em 3a serie,0.0
753,acessocampolargo,outro,0.0
754,acessocampolargokids,ef 2o ano,0.0
755,acessocampolargokids,ef 3o ano,0.0
756,acessocampolargokids,ef 4o ano,0.0
757,acessocampolargokids,ef 5o ano,0.0
758,acessocampolargokids,outro,0.0
759,acessosjpinhais,0,0.0
760,acessosjpinhais,ef 3o ano,0.0
761,cbpdigital,ef 4o ano,0.0
762,amaisteste,em 1a serie,0.0
763,aprovest,outro,0.0
764,apogeustoantonio2,outro,0.0
765,apogeustoantonio2,ef 9o ano,0.0
766,apogeustoantonio2,0,0.0
767,anchietaba,0,0.0
768,amaisteste,em 3a serie,0.0
769,amaisteste,ef 9o ano,0.0
770,acessosjpinhais,ef 4o ano,0.0
771,amaisteste,ef 6o ano,0.0
772,amaisteste,ef 3o ano,0.0
773,amais,outro,0.0
774,amais,em 3a serie,0.0
775,amais,0,0.0
776,amadeus,em 3a serie,0.0
777,arlindocavalcanti,0,0.0
778,beityaacov,0,0.0
779,beityaacov,em 3a serie,0.0
780,bertelsmann,0,0.0
781,brasilcursinhos,0,0.0
782,brasilcursinhos,outro,0.0
783,camerinocursos,0,0.0
784,camerinocursos,outro,0.0
785,casdinhosjc,ef 8o ano,0.0
786,casdinhosjc,ef 9o ano,0.0
787,casdvest,0,0.0
788,casdvest,outro,0.0
789,castelobruxo,0,0.0
790,cats,outro,0.0
791,cbpdigital,0,0.0
792,cbpdigital,ef 2o ano,0.0
793,cbpdigital,ef 3o ano,0.0
794,amadeus,em 2a serie,0.0
795,amadeus,em 1a serie,0.0
796,amadeus,ef 9o ano,0.0
797,aescobjetivo,ef 3o ano,0.0
798,acessosjpinhais,ef 5o ano,0.0
799,acessosjpinhais,ef 6o ano,0.0
800,acessosjpinhais,ef 7o ano,0.0
801,acessosjpinhais,ef 8o ano,0.0
802,acessosjpinhais,ef 9o ano,0.0
803,acessosjpinhais,em 1a serie,0.0
804,acessosjpinhais,em 2a serie,0.0
805,acessosjpinhais,em 3a serie,0.0
806,acessosjpinhais,outro,0.0
807,adrianochan,0,0.0
808,adrianochan,outro,0.0
809,aescobjetivo,0,0.0
810,aescobjetivo,ef 1o ano,0.0
811,aescobjetivo,ef 2o ano,0.0
812,aescobjetivo,ef 4o ano,0.0
813,amadeus,ef 8o ano,0.0
814,aescobjetivo,ef 5o ano,0.0
815,aescobjetivo,ef 6o ano,0.0
816,aescobjetivo,ef 7o ano,0.0
817,aescobjetivo,ef 8o ano,0.0
818,aescobjetivo,ef 9o ano,0.0
819,aescobjetivo,em 3a serie,0.0
820,alfacembilingue,0,0.0
821,amadeus,0,0.0
822,amadeus,ef 2o ano,0.0
823,amadeus,ef 3o ano,0.0
824,amadeus,ef 4o ano,0.0
825,amadeus,ef 5o ano,0.0
826,amadeus,ef 6o ano,0.0
827,amadeus,ef 7o ano,0.0
828,colegiocb,em 2a serie,0.0
829,colegiocb,em 3a serie,0.0
830,colegiocognos,0,0.0
831,colegiouniverso,ef 6o ano,0.0
832,colegiouniverso,em 3a serie,0.0
833,colegiouniverso,em 2a serie,0.0
834,colegiouniverso,em 1a serie,0.0
835,colegiouniverso,ef 9o ano,0.0
836,colegiouniverso,ef 8o ano,0.0
837,colegiouniverso,ef 7o ano,0.0
838,colegiouirapuru,em 3a serie,0.0
839,contemporaneo,em 3a serie,0.0
840,colegiouirapuru,em 2a serie,0.0
841,colegiouirapuru,em 1a serie,0.0
842,colegiouirapuru,ef 9o ano,0.0
843,colegiouirapuru,ef 8o ano,0.0
844,colegiouirapuru,ef 7o ano,0.0
845,colegiouirapuru,ef 6o ano,0.0
846,colegioup,0,0.0
847,colegioup,ef 6o ano,0.0
848,colegioup,ef 7o ano,0.0
849,colegioup,ef 8o ano,0.0
850,colegioup,ef 9o ano,0.0
851,colegioup,em 1a serie,0.0
852,colegioup,em 2a serie,0.0
853,colegioup,em 3a serie,0.0
854,conexaosaber,0,0.0
855,conexaosaber,ef 1o ano,0.0
856,conexaosaber,ef 2o ano,0.0
857,conexaosaber,ef 3o ano,0.0
858,conexaosaber,ef 4o ano,0.0
859,conexaosaber,ef 5o ano,0.0
860,conexaosaber,ef 6o ano,0.0
861,conexaosaber,ef 7o ano,0.0
862,conexaosaber,ef 8o ano,0.0
863,colegiouirapuru,ef 5o ano,0.0
864,colegiouirapuru,ef 4o ano,0.0
865,colegiouirapuru,ef 3o ano,0.0
866,colegiopremium,em 2a serie,0.0
867,colegioplanck,em 1a serie,0.0
868,colegioplanck,em 2a serie,0.0
869,colegioplanck,em 3a serie,0.0
870,colegioplanck,outro,0.0
871,colegiopremium,ef 1o ano,0.0
872,colegiopremium,ef 2o ano,0.0
873,colegiopremium,ef 3o ano,0.0
874,colegiopremium,ef 4o ano,0.0
875,colegiopremium,ef 5o ano,0.0
876,colegiopremium,ef 6o ano,0.0
877,colegiopremium,ef 7o ano,0.0
878,colegiopremium,ef 8o ano,0.0
879,colegiopremium,ef 9o ano,0.0
880,colegiopremium,em 1a serie,0.0
881,colegiopremium,em 3a serie,0.0
882,colegiosete,em 3a serie,0.0
883,colegioprogresso,0,0.0
884,colegioradar,0,0.0
885,colegioriobranco,0,0.0
886,colegiosantamaria,0,0.0
887,colegioser,0,0.0
888,colegioser,outro,0.0
889,colegiosete,0,0.0
890,colegiosete,ef 5o ano,0.0
891,colegiosete,ef 6o ano,0.0
892,colegiosete,ef 7o ano,0.0
893,colegiosete,ef 8o ano,0.0
894,colegiosete,ef 9o ano,0.0
895,colegiosete,em 1a serie,0.0
896,colegiosete,em 2a serie,0.0
897,conexaosaber,ef 9o ano,0.0
898,contemporaneocidadeverde,0,0.0
899,colegiodasamericas,0,0.0
900,cursosazambuja,0,0.0
901,deltaeducacional,em 3a serie,0.0
902,deltaeducacional,em 2a serie,0.0
903,deltaeducacional,em 1a serie,0.0
904,deltaeducacional,0,0.0
905,dante,em 3a serie,0.0
906,cursosazambuja,outro,0.0
907,cursoprogressao,0,0.0
908,contemporaneocidadeverde,ef 3o ano,0.0
909,cursoleopoldo,outro,0.0
910,cursoleopoldo,em 3a serie,0.0
911,cursoisfera,outro,0.0
912,cursoisfera,0,0.0
913,cursoenfase,outro,0.0
914,cursobase,0,0.0
915,dommga,em 3a serie,0.0
916,domus,em 1a serie,0.0
917,domus,em 2a serie,0.0
918,domus,em 3a serie,0.0
919,eacorcovado,ef 8o ano,0.0
920,eacorcovado,em 1a serie,0.0
921,eacorcovado,em 2a serie,0.0
922,eacorcovado,em 3a serie,0.0
923,eccos,0,0.0
924,eccos,ef 3o ano,0.0
925,eccos,ef 4o ano,0.0
926,eccos,ef 5o ano,0.0
927,eccos,ef 6o ano,0.0
928,eccos,ef 7o ano,0.0
929,eccos,ef 8o ano,0.0
930,eccos,ef 9o ano,0.0
931,educamais,ef 6o ano,0.0
932,cursinhoeach,0,0.0
933,crescercampinas,em 3a serie,0.0
934,crescercampinas,em 2a serie,0.0
935,contemporaneolagoanova,em 2a serie,0.0
936,contemporaneocidadeverde,ef 5o ano,0.0
937,contemporaneocidadeverde,ef 6o ano,0.0
938,contemporaneocidadeverde,ef 7o ano,0.0
939,contemporaneocidadeverde,ef 8o ano,0.0
940,contemporaneocidadeverde,ef 9o ano,0.0
941,contemporaneocidadeverde,em 1a serie,0.0
942,contemporaneocidadeverde,em 2a serie,0.0
943,contemporaneocidadeverde,em 3a serie,0.0
944,contemporaneolagoanova,0,0.0
945,contemporaneolagoanova,ef 6o ano,0.0
946,contemporaneolagoanova,ef 7o ano,0.0
947,contemporaneolagoanova,ef 8o ano,0.0
948,contemporaneolagoanova,ef 9o ano,0.0
949,contemporaneolagoanova,em 1a serie,0.0
950,contemporaneolagoanova,em 3a serie,0.0
951,crescercampinas,em 1a serie,0.0
952,cparaiso,0,0.0
953,crb,ef 6o ano,0.0
954,crb,ef 7o ano,0.0
955,crb,ef 8o ano,0.0
956,crb,ef 9o ano,0.0
957,crb,em 1a serie,0.0
958,crb,em 2a serie,0.0
959,crb,em 3a serie,0.0
960,crb,outro,0.0
961,crescercampinas,0,0.0
962,crescercampinas,ef 6o ano,0.0
963,crescercampinas,ef 7o ano,0.0
964,crescercampinas,ef 8o ano,0.0
965,crescercampinas,ef 9o ano,0.0
966,colegioplanck,ef 9o ano,0.0
967,colegioplanck,ef 8o ano,0.0
968,colegioplanck,ef 7o ano,0.0
969,colegioensitec,ef 5o ano,0.0
970,colegioensitec,em 2a serie,0.0
971,colegioensitec,em 1a serie,0.0
972,colegioensitec,ef 9o ano,0.0
973,colegioensitec,ef 8o ano,0.0
974,colegioensitec,ef 7o ano,0.0
975,colegioensitec,ef 6o ano,0.0
976,colegioensitec,ef 4o ano,0.0
977,colegioplanck,ef 6o ano,0.0
978,colegioensitec,ef 3o ano,0.0
979,colegioensitec,ef 2o ano,0.0
980,colegioeducallis,em 3a serie,0.0
981,colegioeducallis,em 2a serie,0.0
982,colegioeducallis,em 1a serie,0.0
983,colegioeducallis,ef 9o ano,0.0
984,colegioensitec,em 3a serie,0.0
985,colegioflamingo,em 1a serie,0.0
986,colegioflamingo,em 2a serie,0.0
987,colegioflamingo,em 3a serie,0.0
988,colegiofuturageracao,ef 3o ano,0.0
989,colegiofuturageracao,ef 4o ano,0.0
990,colegiofuturageracao,ef 5o ano,0.0
991,colegiofuturageracao,ef 6o ano,0.0
992,colegiofuturageracao,ef 7o ano,0.0
993,colegiofuturageracao,ef 8o ano,0.0
994,colegiofuturageracao,ef 9o ano,0.0
995,colegiofuturageracao,em 1a serie,0.0
996,colegioglobal,0,0.0
997,colegioglobal,ef 2o ano,0.0
998,colegioglobal,ef 3o ano,0.0
999,colegioglobal,ef 4o ano,0.0
1000,colegioglobal,ef 5o ano,0.0
1001,colegioeducallis,ef 8o ano,0.0
1002,colegioeducallis,ef 7o ano,0.0
1003,colegioeducallis,ef 6o ano,0.0
1004,colegioecursodesafio,em 1a serie,0.0
1005,colegiodasamericas,ef 6o ano,0.0
1006,colegiodasamericas,ef 7o ano,0.0
1007,colegiodasamericas,ef 8o ano,0.0
1008,colegiodasamericas,ef 9o ano,0.0
1009,colegiodasamericas,em 1a serie,0.0
1010,colegiodasamericas,em 2a serie,0.0
1011,colegiodasamericas,em 3a serie,0.0
1012,colegiodasamericas,outro,0.0
1013,colegiodompedrosegundo,0,0.0
1014,colegioeag,ef 1o ano,0.0
1015,colegioeag,ef 3o ano,0.0
1016,colegioeag,ef 4o ano,0.0
1017,colegioeag,ef 5o ano,0.0
1018,colegioecursodesafio,ef 1o ano,0.0
1019,colegioecursodesafio,em 2a serie,0.0
1020,colegioeducallis,ef 5o ano,0.0
1021,colegioecursodesafio,em 3a serie,0.0
1022,colegioecursoprogressao,0,0.0
1023,colegioecursoprogressao,ef 1o ano,0.0
1024,colegioecursoprogressao,ef 6o ano,0.0
1025,colegioecursoprogressao,ef 7o ano,0.0
1026,colegioecursoprogressao,ef 8o ano,0.0
1027,colegioecursoprogressao,ef 9o ano,0.0
1028,colegioecursoprogressao,em 1a serie,0.0
1029,colegioecursoprogressao,em 2a serie,0.0
1030,colegioecursoprogressao,em 3a serie,0.0
1031,colegioeducallis,0,0.0
1032,colegioeducallis,ef 2o ano,0.0
1033,colegioeducallis,ef 3o ano,0.0
1034,colegioeducallis,ef 4o ano,0.0
1035,colegioglobal,ef 6o ano,0.0
1036,colegioglobal,ef 7o ano,0.0
1037,colegioglobal,ef 8o ano,0.0
1038,colegiomagnum,em 2a serie,0.0
1039,colegiojoaopaulo,ef 4o ano,0.0
1040,colegiojoaopaulo,ef 5o ano,0.0
1041,colegiojoaopaulo,ef 6o ano,0.0
1042,colegiojoaopaulo,ef 7o ano,0.0
1043,colegiojoaopaulo,ef 8o ano,0.0
1044,colegiojoaopaulo,ef 9o ano,0.0
1045,colegiojoaopaulo,em 1a serie,0.0
1046,colegiojoaopaulo,em 2a serie,0.0
1047,colegiojoaopaulo,em 3a serie,0.0
1048,colegiojoaopaulo,outro,0.0
1049,colegioliceu,em 1a serie,0.0
1050,colegioliceu,em 2a serie,0.0
1051,colegioliceu,em 3a serie,0.0
1052,colegiomagnum,em 1a serie,0.0
1053,colegiomagnum,em 3a serie,0.0
1054,colegiointegral,outro,0.0
1055,colegiomodelo,0,0.0
1056,colegiomundial,ef 6o ano,0.0
1057,colegiomundial,ef 9o ano,0.0
1058,colegiomundial,em 1a serie,0.0
1059,colegiomundial,em 2a serie,0.0
1060,colegiomundial,em 3a serie,0.0
1061,colegionobre,0,0.0
1062,colegionobre,ef 6o ano,0.0
1063,colegionovageracao,ef 2o ano,0.0
1064,colegionovageracao,ef 3o ano,0.0
1065,colegionovageracao,ef 4o ano,0.0
1066,colegionovageracao,ef 5o ano,0.0
1067,colegionovopatio,0,0.0
1068,colegioplanck,0,0.0
1069,colegiojoaopaulo,0,0.0
1070,colegiointegral,em 3a serie,0.0
1071,colegioglobal,ef 9o ano,0.0
1072,colegioiguatemy,ef 7o ano,0.0
1073,colegioglobal,em 1a serie,0.0
1074,colegioglobal,em 2a serie,0.0
1075,colegioglobal,em 3a serie,0.0
1076,colegioguilhermedealmeida,ef 6o ano,0.0
1077,colegioguilhermedealmeida,ef 7o ano,0.0
1078,colegioguilhermedealmeida,ef 8o ano,0.0
1079,colegioguilhermedealmeida,ef 9o ano,0.0
1080,colegioguilhermedealmeida,em 1a serie,0.0
1081,colegioguilhermedealmeida,em 2a serie,0.0
1082,colegioguilhermedealmeida,em 3a serie,0.0
1083,colegioiguatemy,ef 3o ano,0.0
1084,colegioiguatemy,ef 4o ano,0.0
1085,colegioiguatemy,ef 5o ano,0.0
1086,colegioiguatemy,ef 6o ano,0.0
1087,colegioiguatemy,ef 8o ano,0.0
1088,colegiointegral,em 2a serie,0.0
1089,colegioiguatemy,ef 9o ano,0.0
1090,colegioiguatemy,em 1a serie,0.0
1091,colegioiguatemy,em 2a serie,0.0
1092,colegioiguatemy,em 3a serie,0.0
1093,colegiointegral,0,0.0
1094,colegiointegral,ef 2o ano,0.0
1095,colegiointegral,ef 3o ano,0.0
1096,colegiointegral,ef 4o ano,0.0
1097,colegiointegral,ef 5o ano,0.0
1098,colegiointegral,ef 6o ano,0.0
1099,colegiointegral,ef 7o ano,0.0
1100,colegiointegral,ef 8o ano,0.0
1101,colegiointegral,ef 9o ano,0.0
1102,colegiointegral,em 1a serie,0.0
1103,wilsondeandradebarreto,em 1a serie,0.0
