,namespace,Semana,numero_ex
772,maplebearslz,33,27.176470588235293
1091,provaspoliedro,34,27.07608695652174
431,colegiojoaopaulo,27,27.0
779,mariliamattoso,27,27.0
1088,provaspoliedro,31,26.970149253731343
797,master,33,26.92488262910798
97,acessosjpinhais,33,26.838709677419356
1217,stellamarisxaxim,33,26.833333333333332
395,colegioglobal,32,26.666666666666668
269,colegioarena,34,26.666666666666668
868,overlimaesilva,34,26.666666666666668
712,integra,34,26.555555555555557
439,colegiojoaopaulo,35,26.5
1045,profederal,23,26.25
267,colegioarena,32,26.25
1072,progressaoig,26,26.2
390,colegioglobal,23,26.071428571428573
711,integra,25,26.0
983,plannetaosasco,27,26.0
984,plannetataboao,28,26.0
1056,profederal,35,26.0
361,colegioeducallis,35,25.970588235294116
51,acessofazendariogrande,32,25.75
1094,psantagema,24,25.666666666666668
906,overpontanegra,33,25.65
730,invictus,28,25.6
382,colegiofuturageracao,24,25.5
366,colegioensitec,29,25.416666666666668
208,cem,23,25.4
1216,stellamarisxaxim,32,25.333333333333332
780,mariliamattoso,28,25.333333333333332
1207,stellamarisjuveve,34,25.321428571428573
728,invictus,26,25.285714285714285
837,oficinadoestudante,25,25.0
383,colegiofuturageracao,25,25.0
839,osequim,34,25.0
625,educandarioterciocorreia,25,25.0
1252,villalobos,30,25.0
147,apogeustoantonio2,34,25.0
487,colegiosete,34,25.0
143,apogeustoantonio2,28,25.0
560,cursobase,34,25.0
586,cursosazambuja,28,25.0
320,colegiocb,34,24.933333333333334
626,educandarioterciocorreia,26,24.857142857142858
830,objetivolorena,33,24.68
1218,stellamarisxaxim,34,24.666666666666668
801,minhalista,24,24.5
566,cursoisfera,23,24.4
355,colegioeducallis,24,24.389830508474578
424,colegiointegral,33,24.242857142857144
302,colegiobrasilia,25,24.11904761904762
356,colegioeducallis,25,24.044444444444444
138,anchietaba,30,24.0
581,cursosazambuja,23,24.0
609,eacorcovado,31,24.0
458,colegioplanck,28,24.0
369,colegioensitec,32,24.0
83,acessosantafelicidade,32,23.928571428571427
799,master,35,23.88888888888889
782,mariliamattoso,30,23.818181818181817
540,crb,26,23.724137931034484
275,colegiobatistaindependente,27,23.583333333333332
464,colegioplanck,34,23.5
768,maplebearslz,26,23.333333333333332
298,colegiobilac,34,23.285714285714285
389,colegiofuturageracao,35,23.25
466,colegiopremium,23,23.22222222222222
1243,universobarcarena,30,23.157894736842106
844,overabelcabral,27,23.0
432,colegiojoaopaulo,28,23.0
455,colegioplanck,23,22.821428571428573
411,colegioiguatemy,32,22.75
256,colegioalphaunis,27,22.7
435,colegiojoaopaulo,31,22.583333333333332
1016,porto,24,22.52
381,colegiofuturageracao,23,22.5
295,colegiobilac,31,22.444444444444443
341,colegioecursodesafio,25,22.307692307692307
1090,provaspoliedro,33,22.305263157894736
1184,spdacruz,25,22.236842105263158
246,cnslpb,30,22.227272727272727
904,overpontanegra,31,22.166666666666668
386,colegiofuturageracao,32,22.0
203,ceespacolivre,28,22.0
599,deltaeducacional,33,22.0
462,colegioplanck,32,21.964285714285715
200,ceespacolivre,25,21.944444444444443
715,integradaeducativa,25,21.933333333333334
1249,villalobos,25,21.857142857142858
1073,progressaoig,27,21.833333333333332
826,objetivolorena,25,21.733333333333334
185,cbpdigital,25,21.666666666666668
766,maplebearslz,24,21.555555555555557
165,casdinhosjc,25,21.5
1125,santamariacn,25,21.5
376,colegioflamingo,26,21.4
1006,portinari,27,21.357142857142858
1139,santoamerico,26,21.266666666666666
1193,stellamarisaguaverde,25,21.25
1081,provaspoliedro,23,21.22972972972973
461,colegioplanck,31,21.166666666666668
895,overnascimentodecastro,27,21.0
656,escolaceciliameireles,23,21.0
321,colegiocb,35,21.0
358,colegioeducallis,32,20.95
1143,santoamerico,31,20.8
700,institutocristao,23,20.75
127,amadeus,32,20.61111111111111
128,amadeus,33,20.466666666666665
212,cem,32,20.363636363636363
1044,prismapatrocinio,35,20.238095238095237
1192,stellamarisaguaverde,24,20.166666666666668
221,ceprimeiromundo,28,20.125
1137,santoamerico,24,20.09090909090909
1014,portinari,35,20.083333333333332
1164,seletivoeducallis,32,20.0
304,colegiobrasilia,27,20.0
1163,seletivoeducallis,28,20.0
1162,seletivoeducallis,26,20.0
1030,prevest,34,20.0
765,maplebearslz,23,20.0
1161,seletivoeducallis,23,20.0
60,acessohauer,29,20.0
186,cbpdigital,26,20.0
820,nucleocriativo,32,20.0
377,colegioflamingo,32,20.0
399,colegioguilhermedealmeida,31,20.0
941,physicsbatistacampos,23,20.0
1117,saberviver,32,20.0
1048,profederal,26,20.0
414,colegioiguatemy,35,19.833333333333332
976,pioxiicolegio,23,19.6
387,colegiofuturageracao,33,19.6
359,colegioeducallis,33,19.55263157894737
1011,portinari,32,19.451612903225808
258,colegioalphaunis,34,19.428571428571427
1105,qescola,26,19.25
763,magister,32,19.25
1113,qescola,34,19.2
1222,testevictorhugo,35,19.2
237,ciadosaber,33,19.2
486,colegiosete,33,19.142857142857142
120,aescobjetivo,35,19.11111111111111
760,magister,25,19.0
734,invictus,35,19.0
524,contemporaneocidadeverde,28,19.0
397,colegioglobal,34,18.90909090909091
365,colegioensitec,28,18.88888888888889
236,ciadosaber,32,18.88888888888889
936,physicsaugustomontenegro,24,18.88888888888889
948,physicscidadenova,24,18.88888888888889
637,einsteinassis,25,18.857142857142858
489,colegiouirapuru,23,18.675675675675677
490,colegiouirapuru,24,18.636363636363637
188,cbpdigital,32,18.620689655172413
916,overzonanorte,32,18.571428571428573
869,overlimaesilva,35,18.571428571428573
1008,portinari,29,18.458333333333332
1087,provaspoliedro,30,18.350877192982455
238,ciadosaber,34,18.333333333333332
347,colegioecursoprogressao,28,18.181818181818183
1099,psantagema,33,18.041666666666668
879,overmarciliofurtado,32,18.0
176,casdvest,31,18.0
278,colegiobatistaindependente,33,17.833333333333332
187,cbpdigital,31,17.77777777777778
1098,psantagema,32,17.61904761904762
1199,stellamarisjuveve,24,17.533333333333335
93,acessosjpinhais,29,17.5
137,amaisteste,35,17.5
452,colegionovageracao,35,17.5
773,maplebearslz,34,17.40909090909091
549,crescercampinas,25,17.4
345,colegioecursoprogressao,26,17.36842105263158
325,colegiodasamericas,24,17.357142857142858
512,colegioup,33,17.333333333333332
193,ceabb,27,17.285714285714285
264,colegioarena,24,17.272727272727273
1010,portinari,31,17.193548387096776
7,acessoalmirantetamandare,32,17.166666666666668
130,amadeus,35,17.11111111111111
484,colegiosete,31,17.09090909090909
354,colegioeducallis,23,17.044776119402986
388,colegiofuturageracao,34,17.0
913,overzonanorte,27,17.0
738,isem,25,17.0
223,ceprimeiromundo,30,17.0
327,colegiodasamericas,26,16.916666666666668
848,overabelcabral,31,16.8125
1083,provaspoliedro,25,16.721311475409838
889,overmossoro,32,16.666666666666668
638,einsteinassis,32,16.666666666666668
664,escolaceciliameireles,33,16.666666666666668
250,cnslpb,34,16.666666666666668
1057,progressaodc,23,16.636363636363637
710,integra,24,16.6
793,master,28,16.584269662921347
832,objetivolorena,35,16.583333333333332
617,eccos,32,16.444444444444443
1005,portinari,26,16.363636363636363
367,colegioensitec,30,16.363636363636363
1093,psantagema,23,16.333333333333332
299,colegiobilac,35,16.333333333333332
485,colegiosete,32,16.181818181818183
496,colegiouirapuru,33,16.125
676,faculdadeflamingo,30,16.0
477,colegioser,26,16.0
1141,santoamerico,28,16.0
174,casdvest,29,16.0
1026,portoseguro,34,16.0
521,contemporaneo,31,16.0
1258,vitae,23,16.0
418,colegiointegral,27,15.909090909090908
198,ceespacolivre,23,15.75
915,overzonanorte,31,15.666666666666666
1208,stellamarisjuveve,35,15.607142857142858
190,cbpdigital,34,15.5
878,overmarciliofurtado,31,15.454545454545455
668,escolamaster,23,15.454545454545455
483,colegiosete,30,15.428571428571429
1079,progressaoig,34,15.411764705882353
1007,portinari,28,15.205882352941176
555,crescercampinas,34,15.083333333333334
232,ciadosaber,24,15.066666666666666
285,colegiobetelbrasileirosp,32,15.0
192,ceabb,26,15.0
794,master,29,15.0
704,institutocristao,32,15.0
821,nucleocriativo,34,15.0
628,educandarioterciocorreia,32,15.0
408,colegioiguatemy,27,15.0
652,eluneonline,26,15.0
338,colegioeag,34,15.0
661,escolaceciliameireles,30,15.0
662,escolaceciliameireles,31,15.0
573,cursoisfera,30,15.0
1071,progressaoig,25,15.0
572,cursoisfera,29,15.0
802,minhalista,25,15.0
836,oficinadoestudante,24,14.857142857142858
864,overlimaesilva,26,14.833333333333334
1058,progressaodc,24,14.714285714285714
1100,psantagema,34,14.7
1062,progressaodc,28,14.666666666666666
1070,progressaoig,24,14.6
115,aescobjetivo,30,14.466666666666667
1038,prismapatrocinio,28,14.4375
202,ceespacolivre,27,14.4
495,colegiouirapuru,32,14.375
867,overlimaesilva,33,14.285714285714286
1069,progressaoig,23,14.257142857142858
272,colegiobatistaindependente,24,14.166666666666666
770,maplebearslz,31,14.064516129032258
620,eccos,35,14.0
293,colegiobilac,29,14.0
514,conexaosaber,23,14.0
394,colegioglobal,30,14.0
598,deltaeducacional,32,14.0
1191,stellamarisaguaverde,23,14.0
413,colegioiguatemy,34,14.0
764,magister,33,13.857142857142858
352,colegioecursoprogressao,34,13.803571428571429
343,colegioecursoprogressao,24,13.790697674418604
1219,stellamarisxaxim,35,13.666666666666666
726,invictus,24,13.666666666666666
1009,portinari,30,13.647058823529411
849,overabelcabral,32,13.636363636363637
171,casdvest,26,13.6
113,aescobjetivo,28,13.5
729,invictus,27,13.4
857,overjoaopessoa,32,13.333333333333334
1142,santoamerico,30,13.307692307692308
547,crescercampinas,23,13.285714285714286
670,escolamaster,25,13.2
1102,qescola,23,13.2
211,cem,31,13.11111111111111
463,colegioplanck,33,13.024390243902438
1131,santamariacn,31,13.0
556,crescercampinas,35,13.0
1051,profederal,30,13.0
1160,saseducacao,23,13.0
1025,porto,35,13.0
318,colegiocb,32,13.0
810,murilorocha,32,13.0
362,colegioensitec,23,12.9
296,colegiobilac,32,12.8
680,faculdadeflamingo,34,12.8
57,acessohauer,25,12.75
59,acessohauer,27,12.75
1037,prismapatrocinio,27,12.75
1182,spdacruz,23,12.714285714285714
217,ceprimeiromundo,24,12.65
727,invictus,25,12.5
762,magister,30,12.4
248,cnslpb,32,12.4
1136,santoamerico,23,12.393939393939394
329,colegiodasamericas,30,12.38888888888889
1004,portinari,24,12.384615384615385
403,colegioguilhermedealmeida,35,12.0
224,ceprimeiromundo,31,12.0
1067,progressaodc,34,12.0
149,arlindocavalcanti,25,12.0
1029,prevest,32,12.0
482,colegiosete,29,12.0
297,colegiobilac,33,12.0
657,escolaceciliameireles,24,12.0
177,casdvest,32,12.0
460,colegioplanck,30,11.875
330,colegiodasamericas,31,11.85
720,integradaeducativa,31,11.833333333333334
114,aescobjetivo,29,11.666666666666666
201,ceespacolivre,26,11.6
736,isem,23,11.571428571428571
62,acessohauer,32,11.5
520,conexaosaber,35,11.363636363636363
973,pioxi,26,11.333333333333334
370,colegioensitec,33,11.333333333333334
1247,villalobos,23,11.222222222222221
247,cnslpb,31,11.166666666666666
1195,stellamarisaguaverde,33,11.153846153846153
218,ceprimeiromundo,25,11.142857142857142
342,colegioecursoprogressao,23,11.108433734939759
178,casdvest,33,11.0
405,colegioiguatemy,24,11.0
665,escolaceciliameireles,35,11.0
1122,santadoroteia,23,11.0
169,casdvest,24,11.0
58,acessohauer,26,11.0
194,ceabb,31,11.0
613,eccos,24,11.0
1144,santoamerico,32,10.96875
1255,villalobos,33,10.857142857142858
519,conexaosaber,34,10.857142857142858
96,acessosjpinhais,32,10.827586206896552
1080,progressaoig,35,10.714285714285714
371,colegioensitec,34,10.714285714285714
244,cnslpb,26,10.666666666666666
1068,progressaodc,35,10.666666666666666
743,isem,31,10.666666666666666
739,isem,26,10.666666666666666
209,cem,24,10.666666666666666
1040,prismapatrocinio,31,10.666666666666666
368,colegioensitec,31,10.625
618,eccos,33,10.625
731,invictus,32,10.571428571428571
1248,villalobos,24,10.5
456,colegioplanck,24,10.444444444444445
38,acessocampolargokids,26,10.4
319,colegiocb,33,10.333333333333334
783,mariliamattoso,31,10.285714285714286
276,colegiobatistaindependente,28,10.285714285714286
488,colegiosete,35,10.222222222222221
1095,psantagema,25,10.166666666666666
1197,stellamarisaguaverde,35,10.153846153846153
905,overpontanegra,32,10.142857142857142
1254,villalobos,32,10.117647058823529
1086,provaspoliedro,28,10.066666666666666
546,crb,35,10.066666666666666
1196,stellamarisaguaverde,34,10.0
845,overabelcabral,28,10.0
398,colegioglobal,35,10.0
305,colegiobrasilia,30,10.0
580,cursoprogressao,32,10.0
717,integradaeducativa,27,10.0
400,colegioguilhermedealmeida,32,10.0
863,overlimaesilva,25,10.0
861,overlimaesilva,23,10.0
1002,poliedrotreinamento,34,10.0
315,colegiocb,27,10.0
1149,santoantonio,27,10.0
265,colegioarena,25,10.0
517,conexaosaber,26,10.0
433,colegiojoaopaulo,29,10.0
1204,stellamarisjuveve,31,10.0
932,physicsalmirantebarroso,26,10.0
828,objetivolorena,31,10.0
207,ceespacolivre,35,10.0
752,liessinbarra,25,10.0
750,joaobelem,25,10.0
417,colegiointegral,26,10.0
607,eacorcovado,24,10.0
945,physicsbatistacampos,32,10.0
669,escolamaster,24,10.0
887,overmossoro,30,10.0
434,colegiojoaopaulo,30,10.0
551,crescercampinas,30,10.0
16,acessoboqueirao,28,10.0
955,physicsconselheirofurtado,26,10.0
1242,universobarcarena,29,10.0
1075,progressaoig,30,10.0
1241,universobarcarena,28,10.0
1074,progressaoig,28,10.0
1240,universobarcarena,27,10.0
974,pioxi,34,10.0
975,pioxi,35,10.0
693,gerabixo,33,10.0
1120,sagradafamilia,33,10.0
530,contemporaneolagoanova,30,10.0
888,overmossoro,31,10.0
672,escolamaster,31,10.0
277,colegiobatistaindependente,32,10.0
866,overlimaesilva,32,10.0
865,overlimaesilva,31,10.0
384,colegiofuturageracao,26,10.0
162,camerinocursos,29,10.0
337,colegioeag,33,10.0
42,acessocampolargokids,33,10.0
476,colegiosantamaria,34,10.0
481,colegiosete,25,10.0
491,colegiouirapuru,25,10.0
619,eccos,34,9.933333333333334
1185,spdacruz,26,9.909090909090908
719,integradaeducativa,30,9.875
769,maplebearslz,30,9.818181818181818
1108,qescola,29,9.8
875,overmarciliofurtado,28,9.75
39,acessocampolargokids,27,9.714285714285714
40,acessocampolargokids,31,9.714285714285714
902,overpontanegra,28,9.666666666666666
677,faculdadeflamingo,31,9.666666666666666
733,invictus,34,9.625
606,eacorcovado,23,9.615384615384615
95,acessosjpinhais,31,9.6
353,colegioecursoprogressao,35,9.55
1256,villalobos,34,9.5
317,colegiocb,31,9.45
41,acessocampolargokids,32,9.428571428571429
214,cem,34,9.4
544,crb,33,9.375
614,eccos,25,9.363636363636363
781,mariliamattoso,29,9.333333333333334
548,crescercampinas,24,9.058823529411764
468,colegiopremium,25,9.0
409,colegioiguatemy,30,9.0
1114,qescola,35,9.0
249,cnslpb,33,9.0
335,colegioeag,27,9.0
804,moaciralves,33,9.0
541,crb,29,9.0
744,isem,32,9.0
497,colegiouirapuru,34,9.0
63,acessohauer,33,8.833333333333334
61,acessohauer,31,8.75
401,colegioguilhermedealmeida,33,8.714285714285714
43,acessocampolargokids,34,8.666666666666666
284,colegiobetelbrasileirosp,31,8.666666666666666
627,educandarioterciocorreia,31,8.666666666666666
716,integradaeducativa,26,8.5
348,colegioecursoprogressao,30,8.5
746,itamarati,34,8.5
314,colegiocb,26,8.5
1186,spdacruz,31,8.470588235294118
725,invictus,23,8.444444444444445
552,crescercampinas,31,8.409090909090908
316,colegiocb,30,8.333333333333334
215,cem,35,8.333333333333334
380,colegioflamingo,35,8.333333333333334
222,ceprimeiromundo,29,8.333333333333334
1189,spdacruz,34,8.25
616,eccos,31,8.2
518,conexaosaber,33,8.181818181818182
6,acessoalmirantetamandare,31,8.181818181818182
972,pioxi,25,8.166666666666666
50,acessofazendariogrande,31,8.1
82,acessosantafelicidade,31,8.083333333333334
64,acessohauer,34,8.0
35,acessocampolargokids,23,8.0
593,dante,33,8.0
37,acessocampolargokids,25,8.0
170,casdvest,25,8.0
153,bertelsmann,28,8.0
1133,santamariacn,33,8.0
1157,sasadapt,25,8.0
1152,sas,29,8.0
920,pauloviana,31,8.0
1260,wilsondeandradebarreto,35,8.0
705,institutocristao,34,8.0
363,colegioensitec,24,8.0
847,overabelcabral,30,8.0
189,cbpdigital,33,8.0
210,cem,25,8.0
326,colegiodasamericas,25,8.0
741,isem,28,8.0
745,itamarati,25,8.0
1110,qescola,31,7.875
615,eccos,26,7.8
243,cnslpb,25,7.714285714285714
903,overpontanegra,29,7.666666666666667
681,faculdadeflamingo,35,7.666666666666667
846,overabelcabral,29,7.666666666666667
286,colegiobetelbrasileirosp,33,7.647058823529412
570,cursoisfera,27,7.6
241,cnslpb,23,7.555555555555555
1138,santoamerico,25,7.555555555555555
774,maplebearslz,35,7.5
19,acessoboqueirao,31,7.416666666666667
977,pioxiicolegio,30,7.25
876,overmarciliofurtado,29,7.25
271,colegiobatistaindependente,23,7.2
1103,qescola,24,7.142857142857143
1170,sobral,29,7.0
623,educandarioterciocorreia,23,7.0
562,cursoenfase,24,7.0
175,casdvest,30,7.0
251,cnslpb,35,7.0
610,eacorcovado,32,7.0
30,acessocampolargo,31,7.0
36,acessocampolargokids,24,7.0
283,colegiobetelbrasileirosp,25,6.869565217391305
280,colegiobatistaindependente,35,6.8
877,overmarciliofurtado,30,6.666666666666667
235,ciadosaber,31,6.666666666666667
679,faculdadeflamingo,33,6.666666666666667
287,colegiobetelbrasileirosp,34,6.642857142857143
183,cbpdigital,23,6.6
333,colegiodasamericas,35,6.5
313,colegiocb,25,6.5
331,colegiodasamericas,33,6.428571428571429
1251,villalobos,27,6.4
1063,progressaodc,30,6.333333333333333
737,isem,24,6.333333333333333
1111,qescola,32,6.333333333333333
678,faculdadeflamingo,32,6.25
336,colegioeag,30,6.25
332,colegiodasamericas,34,6.0
1148,santoantonio,23,6.0
921,pearson,31,6.0
492,colegiouirapuru,26,6.0
493,colegiouirapuru,29,6.0
1101,psantagema,35,6.0
1019,porto,27,6.0
653,eluneonline,27,6.0
721,integradaeducativa,32,6.0
288,colegiobetelbrasileirosp,35,6.0
324,colegiodasamericas,23,6.0
402,colegioguilhermedealmeida,34,6.0
718,integradaeducativa,29,6.0
1228,universitariolondrina,28,6.0
71,acessopinhais,31,6.0
282,colegiobetelbrasileirosp,24,5.962962962962963
494,colegiouirapuru,31,5.833333333333333
1257,villalobos,35,5.75
722,integradaeducativa,33,5.72093023255814
281,colegiobetelbrasileirosp,23,5.642857142857143
723,integradaeducativa,34,5.535714285714286
671,escolamaster,26,5.5
364,colegioensitec,25,5.142857142857143
1253,villalobos,31,5.076923076923077
724,integradaeducativa,35,5.0
1020,porto,28,5.0
914,overzonanorte,30,5.0
182,cats,34,5.0
1145,santoamerico,33,5.0
372,colegioensitec,35,5.0
674,esperanza,34,5.0
1134,santamariacn,34,5.0
687,galois,28,5.0
1146,santoamerico,34,5.0
753,litteratus,33,5.0
550,crescercampinas,26,5.0
135,amaisteste,28,5.0
136,amaisteste,33,5.0
498,colegiouirapuru,35,5.0
152,beityaacov,33,5.0
667,escolajardimdasnacoes,24,5.0
1116,rede,35,5.0
622,educamais,33,5.0
151,beityaacov,32,5.0
1046,profederal,24,5.0
1047,profederal,25,5.0
660,escolaceciliameireles,28,5.0
1049,profederal,27,5.0
827,objetivolorena,26,4.803921568627451
1107,qescola,28,4.526315789473684
1039,prismapatrocinio,30,4.4
978,pioxiicolegio,31,4.285714285714286
535,cparaiso,32,4.0
1151,sas,25,4.0
634,eduqo,32,4.0
1215,stellamarisxaxim,31,4.0
154,bertelsmann,31,4.0
982,pioxiicolegio,35,4.0
450,colegionobre,30,4.0
1028,positivoon,28,4.0
447,colegiomodelo,35,4.0
612,eacorcovado,35,4.0
159,brasilcursinhos,30,4.0
1147,santoamerico,35,4.0
1126,santamariacn,26,3.2
473,colegioradar,33,3.0
445,colegiomodelo,29,3.0
834,objetivoteresina,28,3.0
108,adrianochan,35,3.0
536,cparaiso,34,3.0
811,murilorocha,35,3.0
1118,saea,33,3.0
239,cmdpii,33,3.0
1119,saea,35,3.0
990,poliedro,33,3.0
981,pioxiicolegio,34,3.0
987,poliedro,27,3.0
230,charlesdarwin,27,3.0
252,cognitivo,32,3.0
17,acessoboqueirao,29,3.0
444,colegiomartinus,23,3.0
686,fundacaobradesco,29,3.0
121,alfacembilingue,25,3.0
812,navegasas,27,3.0
1165,serios,24,3.0
621,educamais,24,3.0
1159,sasadaptem,25,3.0
92,acessosjpinhais,28,3.0
655,escola,34,3.0
1135,santoagostinho,24,3.0
986,poliedro,25,3.0
1106,qescola,27,2.6
1112,qescola,33,2.6
1104,qescola,25,2.2
833,objetivoteresina,24,2.0
814,novotempo,24,2.0
688,garra,23,2.0
323,colegiocognos,33,2.0
472,colegioprogresso,28,2.0
475,colegiosantamaria,33,2.0
1220,studos,30,2.0
474,colegioriobranco,27,2.0
229,charlesdarwin,24,2.0
800,meta,30,2.0
611,eacorcovado,33,2.0
322,colegiocognos,23,2.0
1190,spdacruz,35,1.6666666666666667
179,castelobruxo,30,1.0
261,colegioanchietaii,33,1.0
511,colegioup,31,1.0
259,colegioanchietai,33,1.0
735,iracemarufino,31,1.0
459,colegioplanck,29,1.0
289,colegiobianguloiv,33,1.0
1021,porto,31,1.0
631,educandarioterciocorreia,35,1.0
805,moaciralves,34,1.0
196,cecbdf,33,1.0
639,einsteinassis,35,1.0
446,colegiomodelo,30,1.0
1245,universobarcarena,34,1.0
451,colegionobre,34,1.0
1128,santamariacn,28,1.0
1115,qescola.qmagico.com.br,25,1.0
809,murilorocha,31,1.0
102,adrianochan,25,1.0
1123,santadoroteia,33,1.0
922,pesenglish,34,1.0
